IP,label,loc
172.67.22.126,"AS13335 Cloudflare, Inc.","43.6532,-79.3832"
37.19.199.156,AS212238 Datacamp Limited,"40.7123,-74.0068"
185.229.188.174,AS60068 Datacamp Limited,"50.0883,14.4124"
50.220.200.185,"AS7922 Comcast Cable Communications, LLC","40.7128,-74.006"
96.110.34.57,"AS7922 Comcast Cable Communications, LLC","40.7357,-74.1724"
68.86.86.90,"AS7922 Comcast Cable Communications, LLC","41.8528,-87.6232"
68.86.83.177,"AS7922 Comcast Cable Communications, LLC","37.2716,-121.806"
96.110.37.69,"AS7922 Comcast Cable Communications, LLC","41.8528,-87.6232"
96.110.36.134,"AS7922 Comcast Cable Communications, LLC","40.7357,-74.1724"
23.30.207.38,"AS7922 Comcast Cable Communications, LLC","34.7269,-92.344"
13.224.214.79,"AS16509 Amazon.com, Inc.","39.0438,-77.4874"
37.19.199.156,AS212238 Datacamp Limited,"40.7123,-74.0068"
185.229.188.174,AS60068 Datacamp Limited,"50.0883,14.4124"
38.104.72.1,AS174 Cogent Communications,"40.7114,-74.0005"
154.54.3.9,AS174 Cogent Communications,"40.7128,-74.006"
154.54.40.106,AS174 Cogent Communications,"38.9031,-77.0608"
154.54.7.158,AS174 Cogent Communications,"33.749,-84.388"
154.54.24.146,AS174 Cogent Communications,"25.7617,-80.1918"
154.54.88.226,AS174 Cogent Communications,"25.7617,-80.1918"
38.88.165.74,AS174 Cogent Communications,"25.7824,-80.1931"
200.143.255.90,AS1916 Rede Nacional de Ensino e Pesquisa,"-22.8222,-43.4312"
143.107.0.184,AS28571 UNIVERSIDADE DE SAO PAULO,"-23.6283,-46.6409"
143.107.0.10,AS28571 UNIVERSIDADE DE SAO PAULO,"-23.6283,-46.6409"
143.107.22.245,AS28571 UNIVERSIDADE DE SAO PAULO,"-23.6283,-46.6409"
143.107.159.1,AS28571 UNIVERSIDADE DE SAO PAULO,"-21.2244,-47.8239"
143.107.159.94,AS28571 UNIVERSIDADE DE SAO PAULO,"-21.2244,-47.8239"
143.107.205.12,AS28571 UNIVERSIDADE DE SAO PAULO,"-21.2244,-47.8239"
37.19.199.156,AS212238 Datacamp Limited,"40.7123,-74.0068"
185.229.188.170,AS60068 Datacamp Limited,"50.0883,14.4124"
185.229.188.169,AS60068 Datacamp Limited,"50.0883,14.4124"
157.240.75.4,"AS32934 Facebook, Inc.","40.7128,-74.006"
157.240.103.104,"AS32934 Facebook, Inc.","40.7128,-74.006"
157.240.107.173,"AS32934 Facebook, Inc.","40.7128,-74.006"
157.240.38.149,"AS32934 Facebook, Inc.","43.6532,-79.3832"
31.13.71.36,"AS32934 Facebook, Inc.","40.7876,-74.06"
37.19.199.157,AS212238 Datacamp Limited,"40.7123,-74.0068"
185.229.188.172,AS60068 Datacamp Limited,"50.0883,14.4124"
185.229.188.169,AS60068 Datacamp Limited,"50.0883,14.4124"
157.240.75.4,"AS32934 Facebook, Inc.","40.7128,-74.006"
157.240.103.100,"AS32934 Facebook, Inc.","40.7128,-74.006"
157.240.107.95,"AS32934 Facebook, Inc.","40.7128,-74.006"
157.240.38.191,"AS32934 Facebook, Inc.","43.6532,-79.3832"
31.13.71.174,"AS32934 Facebook, Inc.","40.7876,-74.06"
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
182.71.238.93,AS9498 BHARTI Airtel Ltd.,"11.0142,76.9941"
72.14.205.196,AS15169 Google LLC,"37.422,-122.084"
142.250.228.186,AS15169 Google LLC,"37.422,-122.084"
108.170.253.121,AS15169 Google LLC,"37.422,-122.084"
142.250.56.38,AS15169 Google LLC,"45.5019,-73.5674"
108.170.248.193,AS15169 Google LLC,"37.422,-122.084"
142.250.214.109,AS15169 Google LLC,"27.8672,-82.3503"
142.250.214.107,AS15169 Google LLC,"27.8672,-82.3503"
142.250.183.14,AS15169 Google LLC,"34.035,-83.2191"
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
59.144.94.157,AS9498 BHARTI Airtel Ltd.,"17.411,78.4487"
182.79.245.155,AS9498 BHARTI Airtel Ltd.,"28.5493,77.2678"
151.101.130.133,"AS54113 Fastly, Inc.","37.721,-122.391"
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
182.71.238.101,AS9498 BHARTI Airtel Ltd.,"11.0142,76.9941"
182.79.134.141,AS9498 BHARTI Airtel Ltd.,"28.5493,77.2678"
94.31.40.4,AS6461 Zayo Bandwidth,"51.4674,-0.3556"
195.66.224.15,AS34984 Superonline Iletisim Hizmetleri A.S.,"51.5108,-0.0810928"
146.97.35.169,AS786 Jisc Services Limited,"51.5153,-0.10931"
146.97.33.62,AS786 Jisc Services Limited,"51.5153,-0.10931"
146.97.33.29,AS786 Jisc Services Limited,"51.5153,-0.10931"
129.215.97.67,AS786 Jisc Services Limited,"55.8251,-3.0523"
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
182.71.238.93,AS9498 BHARTI Airtel Ltd.,"11.0142,76.9941"
116.119.35.48,AS9498 BHARTI Airtel Ltd.,"28.4969,77.0813"
185.1.226.223,AS7713 PT Telekomunikasi Indonesia,"42.6556,23.3727"
200.143.252.26,AS1916 Rede Nacional de Ensino e Pesquisa,"-22.8222,-43.4312"
143.107.205.12,AS28571 UNIVERSIDADE DE SAO PAULO,"-21.2244,-47.8239"
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
202.56.234.81,AS9498 BHARTI Airtel Ltd.,"28.6328,77.2204"
142.250.169.206,AS15169 Google LLC,"37.422,-122.084"
209.85.251.159,AS15169 Google LLC,"37.422,-122.084"
108.170.253.119,AS15169 Google LLC,"37.422,-122.084"
142.250.212.0,AS15169 Google LLC,"27.8672,-82.3503"
108.170.248.209,AS15169 Google LLC,"37.422,-122.084"
142.250.228.51,AS15169 Google LLC,"37.422,-122.084"
172.217.174.78,AS15169 Google LLC,"19.076,72.8777"
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
202.56.234.81,AS9498 BHARTI Airtel Ltd.,"28.6328,77.2204"
116.119.94.26,AS9498 BHARTI Airtel Ltd.,"28.4969,77.0813"
157.240.68.40,"AS32934 Facebook, Inc.","13.6288,79.4192"
129.134.101.67,"AS32934 Facebook, Inc.","13.6288,79.4192"
157.240.38.183,"AS32934 Facebook, Inc.","43.6532,-79.3832"
157.240.228.35,"AS32934 Facebook, Inc.","12.8996,80.2209"
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
182.71.238.101,AS9498 BHARTI Airtel Ltd.,"11.0142,76.9941"
173.252.67.113,"AS32934 Facebook, Inc.","43.6532,-79.3832"
157.240.228.174,"AS32934 Facebook, Inc.","12.8996,80.2209"
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
182.71.238.101,AS9498 BHARTI Airtel Ltd.,"11.0142,76.9941"
116.119.73.90,AS9498 BHARTI Airtel Ltd.,"28.4969,77.0813"
108.159.61.40,"AS16509 Amazon.com, Inc.","19.076,72.8777"
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
59.144.94.165,AS9498 BHARTI Airtel Ltd.,"17.411,78.4487"
116.119.104.146,AS9498 BHARTI Airtel Ltd.,"28.4969,77.0813"
182.79.161.173,AS9498 BHARTI Airtel Ltd.,"28.5493,77.2678"
172.70.216.3,"AS13335 Cloudflare, Inc.","19.0759,72.8776"
172.67.69.31,"AS13335 Cloudflare, Inc.","43.6532,-79.3832"
223.230.16.1,"AS24560 Bharti Airtel Ltd., Telemedia Services","17.411,78.4487"
202.56.234.85,AS9498 BHARTI Airtel Ltd.,"28.6328,77.2204"
62.115.42.118,AS1299 Arelion Sweden AB,"48.8566,2.35222"
62.115.124.56,AS1299 Arelion Sweden AB,"48.8566,2.35222"
207.244.69.244,"AS30633 Leaseweb USA, Inc.","42.362,-71.0636"
